classification;year;period;period_desc;aggregate_level;is_leaf_code;trade_flow_code;trade_flow;reporter_code;reporter;reporter_iso;partner_code;partner;partner_iso;second_partner_code;second_partner;second_partner_iso;customs_proc_code;customs;mode_of_transport_code;mode_of_transport;commodity_code;commodity;qty_unit_code;qty_unit;alt_qty_unit_code;alt_qty_unit;qty;alt_qty;netweight_kg;gross_weight_kg;trade_value_usd;cif_trade_value_usd;fob_trade_value_usd;flag
H0;1992;1992;1992;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   7502785;NA;NA;0
H0;1992;1992;1992;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 275412064;NA;NA;0
H0;1992;1992;1992;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;     16430;NA;NA;0
H0;1992;1992;1992;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 153707584;NA;NA;0
H0;1993;1993;1993;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   4004786;NA;NA;0
H0;1993;1993;1993;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 265164912;NA;NA;0
H0;1993;1993;1993;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;       812;NA;NA;0
H0;1993;1993;1993;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 214813200;NA;NA;0
H0;1994;1994;1994;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  10005683;NA;NA;0
H0;1994;1994;1994;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 235020112;NA;NA;0
H0;1994;1994;1994;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    270790;NA;NA;0
H0;1994;1994;1994;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 360908832;NA;NA;0
H0;1995;1995;1995;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  14460378;NA;NA;0
H0;1995;1995;1995;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 312591008;NA;NA;0
H0;1995;1995;1995;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    169500;NA;NA;0
H0;1995;1995;1995;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 331665888;NA;NA;0
H0;1996;1996;1996;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  12415736;NA;NA;0
H0;1996;1996;1996;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 455671008;NA;NA;0
H0;1996;1996;1996;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    273357;NA;NA;0
H0;1996;1996;1996;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 237415808;NA;NA;0
H1;1997;1997;1997;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   9288823;NA;NA;0
H1;1997;1997;1997;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 443446112;NA;NA;0
H1;1997;1997;1997;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;     89714;NA;NA;0
H1;1997;1997;1997;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 264119200;NA;NA;0
H1;1998;1998;1998;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  14725088;NA;NA;0
H1;1998;1998;1998;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 550669824;NA;NA;0
H1;1998;1998;1998;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    369017;NA;NA;0
H1;1998;1998;1998;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 303220320;NA;NA;0
H1;1999;1999;1999;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  29590813;NA;NA;0
H1;1999;1999;1999;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 438317282;NA;NA;0
H1;1999;1999;1999;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   3508739;NA;NA;0
H1;1999;1999;1999;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 465343113;NA;NA;0
H1;2000;2000;2000;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  57971000;NA;NA;0
H1;2000;2000;2000;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 406094789;NA;NA;0
H1;2000;2000;2000;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   5508712;NA;NA;0
H1;2000;2000;2000;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 349610408;NA;NA;0
H1;2001;2001;2001;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  86344471;NA;NA;0
H1;2001;2001;2001;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 314345421;NA;NA;0
H1;2001;2001;2001;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   5069532;NA;NA;0
H1;2001;2001;2001;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 188473598;NA;NA;0
H2;2002;2002;2002;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  85408303;NA;NA;0
H2;2002;2002;2002;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 276541093;NA;NA;0
H2;2002;2002;2002;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   7717040;NA;NA;0
H2;2002;2002;2002;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 193810867;NA;NA;0
H2;2003;2003;2003;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  84645527;NA;NA;0
