classification;year;period;period_desc;aggregate_level;is_leaf_code;trade_flow_code;trade_flow;reporter_code;reporter;reporter_iso;partner_code;partner;partner_iso;second_partner_code;second_partner;second_partner_iso;customs_proc_code;customs;mode_of_transport_code;mode_of_transport;commodity_code;commodity;qty_unit_code;qty_unit;alt_qty_unit_code;alt_qty_unit;qty;alt_qty;netweight_kg;gross_weight_kg;trade_value_usd;cif_trade_value_usd;fob_trade_value_usd;flag
H0;1991;1991;1991;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    1737700;NA;NA;0
H0;1991;1991;1991;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  742250048;NA;NA;0
H0;1991;1991;1991;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;      38649;NA;NA;0
H0;1991;1991;1991;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1402672640;NA;NA;0
H0;1992;1992;1992;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    2815275;NA;NA;0
H0;1992;1992;1992;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  813547520;NA;NA;0
H0;1992;1992;1992;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;     776396;NA;NA;0
H0;1992;1992;1992;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1421556608;NA;NA;0
H0;1993;1993;1993;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    8932742;NA;NA;0
H0;1993;1993;1993;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  810091328;NA;NA;0
H0;1993;1993;1993;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    4066478;NA;NA;0
H0;1993;1993;1993;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1397435392;NA;NA;0
H0;1994;1994;1994;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    2500293;NA;NA;0
H0;1994;1994;1994;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  950257280;NA;NA;0
H0;1994;1994;1994;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   13600546;NA;NA;0
H0;1994;1994;1994;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1625069184;NA;NA;0
H0;1995;1995;1995;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   26531034;NA;NA;0
H0;1995;1995;1995;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1289709312;NA;NA;0
H0;1995;1995;1995;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   15810674;NA;NA;0
H0;1995;1995;1995;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1853356544;NA;NA;0
H1;1996;1996;1996;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;     795800;NA;NA;0
H1;1996;1996;1996;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1174020480;NA;NA;0
H1;1996;1996;1996;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   67121352;NA;NA;0
H1;1996;1996;1996;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1851442304;NA;NA;0
H1;1997;1997;1997;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   45250376;NA;NA;0
